owner,team,league,recipient,amount,election_year,party,new_party,new_amount
Adam Silver,Commissioner,NBA,WRIGHT 2016,"$4,000",2016,Democrat,Democrat,4000
Adam Silver,Commissioner,NBA,BIDEN FOR PRESIDENT,"$2,800",2020,Democrat,Democrat,2800
Adam Silver,Commissioner,NBA,CORY 2020,"$2,700",2020,Democrat,Democrat,2700
Adam Silver,Commissioner,NBA,KAMALA HARRIS FOR THE PEOPLE,"$2,700",2020,Democrat,Democrat,2700
Adam Silver,Commissioner,NBA,WIN THE ERA PAC,"$2,700",2020,Democrat,Democrat,2700
Adam Silver,Commissioner,NBA,KOHL FOR CONGRESS,"$2,000",2018,Democrat,Democrat,2000
Adam Silver,Commissioner,NBA,BETO FOR TEXAS,"$1,000",2018,Democrat,Democrat,1000
Adam Silver,Commissioner,NBA,MONTANANS FOR TESTER,"$1,000",2018,Democrat,Democrat,1000
Adam Silver,Commissioner,NBA,SERVE AMERICA PAC,"$1,000",2018,Democrat,Democrat,1000
Adam Silver,Commissioner,NBA,ADAM SCHLEIFER FOR CONGRESS,"$1,000",2020,Democrat,Democrat,1000
Adam Silver,Commissioner,NBA,ELISSA SLOTKIN FOR CONGRESS,"$1,000",2020,Democrat,Democrat,1000
Adam Silver,Commissioner,NBA,DELGADO FOR CONGRESS,$500,2018,Democrat,Democrat,500
Alan Smolinisky,Los Angeles Dodgers,MLB,AMERICANS FOR TOMORROW'S FUTURE,"$10,000",2020,N/A,Bipartisan,10000
Alan Smolinisky,Los Angeles Dodgers,MLB,STAND WITH SANCHEZ,"$2,800",2020,Democrat,Democrat,2800
Alex Meruelo,Arizona Coyotes,NHL,ALL FOR OUR COUNTRY LEADERSHIP PAC,"$5,000",2020,Democrat,Democrat,5000
Alex Meruelo,Arizona Coyotes,NHL,NEVADANS FOR STEVEN HORSFORD,"$2,800",2020,Democrat,Democrat,2800
Alex Meruelo,Arizona Coyotes,NHL,ESMERALDA SORIA FOR CONGRESS,$500,2020,Democrat,Democrat,500
Amy Adams Strunk,Tennessee Titans,NFL,GRIDIRON-PAC,"$10,000",2016,Bipartisan,Bipartisan,10000
Amy Adams Strunk,Tennessee Titans,NFL,GRIDIRON-PAC,"$10,000",2018,Bipartisan,Bipartisan,10000
Amy Adams Strunk,Tennessee Titans,NFL,GRIDIRON-PAC,"$5,000",2020,Bipartisan,Bipartisan,5000
Amy Adams Strunk,Tennessee Titans,NFL,PORTMAN FOR SENATE COMMITTEE,"$2,700",2016,Republican,Republican,2700
Amy Adams Strunk,Tennessee Titans,NFL,REPUBLICAN NATIONAL COMMITTEE,$400,2016,Republican,Republican,400
Andrew Murstein,Richard Petty Motorsports,NASCAR,RIGHT TO RISE USA,"$1,000",2016,Republican,Republican,1000
Andrew Murstein,Richard Petty Motorsports,NASCAR,HILLARY VICTORY FUND,"$1,000",2016,Democrat,Democrat,1000
Arte Moreno,Los Angeles Angels of Anaheim,MLB,MCCONNELL FOR MAJORITY LEADER COMMITTEE,"$10,600",2020,Republican,Republican,10600
Arte Moreno,Los Angeles Angels of Anaheim,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,"$10,000",2016,Bipartisan,Bipartisan,10000
Arte Moreno,Los Angeles Angels of Anaheim,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,"$10,000",2018,Bipartisan,Bipartisan,10000
Arte Moreno,Los Angeles Angels of Anaheim,MLB,COLLINS FOR SENATOR,"$5,600",2020,Republican,Republican,5600
Arte Moreno,Los Angeles Angels of Anaheim,MLB,TIFFANY SHEDD FOR CONGRESS COMMITTEE,"$5,600",2020,Republican,Republican,5600
Arte Moreno,Los Angeles Angels of Anaheim,MLB,MCSALLY FOR SENATE INC,"$5,400",2018,Republican,Republican,5400
Arte Moreno,Los Angeles Angels of Anaheim,MLB,TRUMP VICTORY,"$5,400",2018,Republican,Republican,5400
Arte Moreno,Los Angeles Angels of Anaheim,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,"$5,000",2020,Bipartisan,Bipartisan,5000
Arthur Blank,Atlanta Falcons,NFL,BIDEN VICTORY FUND,"$35,500",2020,Democrat,Democrat,35500
Arthur Blank,Atlanta Falcons,NFL,HILLARY VICTORY FUND,"$25,000",2016,Democrat,Democrat,25000
Arthur Blank,Atlanta Falcons,NFL,BULLOCK VICTORY FUND,"$15,600",2020,Democrat,Democrat,15600
Arthur Blank,Atlanta Falcons,NFL,GRIDIRON-PAC,"$10,000",2016,Bipartisan,Bipartisan,10000
Arthur Blank,Atlanta Falcons,NFL,GEORGIA FEDERAL ELECTIONS COMMITTEE,"$10,000",2018,Democrat,Democrat,10000
Arthur Blank,Atlanta Falcons,NFL,GRIDIRON-PAC,"$10,000",2020,Bipartisan,Bipartisan,10000
Arthur Blank,Atlanta Falcons,NFL,GEORGIANS FOR ISAKSON,"$5,400",2016,Republican,Republican,5400
Arthur Blank,Atlanta Falcons,NFL,HILLARY FOR AMERICA,"$5,400",2016,Democrat,Democrat,5400
Arthur Blank,Atlanta Falcons,NFL,MONTANANS FOR TESTER,"$5,400",2018,Democrat,Democrat,5400
